,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,CLUSTER
0,1987.0,21.881528,1.0,89.04,89.04,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,2500.0,193.985335,96.885791,0.0,12.0,3
2,4903.0,8.570991,0.272727,149.55,149.55,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,5000.0,447.377119,97.176376,0.0,12.0,3
3,7431.0,1409.206763,1.0,143.5,143.5,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,3000.0,432.361276,300.764907,0.0,12.0,3
4,7979.0,810.739995,1.0,86.9,86.9,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,7500.0,253.775702,210.961925,0.0,12.0,3
5,2279.0,558.476701,1.0,630.03,630.03,0.0,0.0,0.090909,0.090909,0.0,0.0,0.0,1.0,5500.0,426.092563,213.369694,0.0,11.0,3
6,4049.0,1714.896284,1.0,2000.0,2000.0,0.0,0.0,0.111111,0.111111,0.0,0.0,0.0,1.0,2000.0,448.300443,348.836471,0.0,9.0,3
7,133.0,271.05166,0.909091,86.0,0.0,86.0,0.0,0.166667,0.0,0.166667,0.0,0.0,2.0,1000.0,442.141178,2863.640612,0.0,12.0,4
8,2185.0,98.364739,0.181818,65.0,0.0,65.0,0.0,0.166667,0.0,0.166667,0.0,0.0,2.0,1200.0,718.794328,53.655347,0.0,12.0,4
9,2891.0,907.371097,1.0,55.65,0.0,55.65,0.0,0.166667,0.0,0.166667,0.0,0.0,3.0,1000.0,416.818116,603.735158,0.0,12.0,4
10,703.0,44.539341,0.363636,94.3,71.8,22.5,0.0,0.25,0.083333,0.25,0.0,0.0,4.0,2500.0,940.026302,147.851745,0.0,12.0,3
11,1133.0,126.32794,0.909091,718.01,718.01,0.0,0.0,0.25,0.25,0.0,0.0,0.0,5.0,7500.0,1067.973689,157.340797,0.0,12.0,3
12,7209.0,49.074293,0.818182,330.25,330.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,5.0,2500.0,509.309215,134.968858,0.0,12.0,3
13,3795.0,904.395249,1.0,158.0,90.0,68.0,0.0,0.333333,0.083333,0.333333,0.0,0.0,5.0,900.0,358.518609,436.602196,0.0,12.0,3
14,8219.0,357.593551,1.0,68.0,0.0,68.0,0.0,0.333333,0.0,0.333333,0.0,0.0,4.0,1500.0,243.400118,194.028384,0.0,12.0,4
15,585.0,0.0,0.0,52.5,0.0,52.5,0.0,0.416667,0.0,0.416667,0.0,0.0,5.0,3000.0,57.506797,136.258531,0.0,12.0,4
16,2063.0,2572.878701,1.0,3975.0,3975.0,0.0,0.0,0.416667,0.416667,0.0,0.0,0.0,5.0,4000.0,2386.982592,667.024916,0.0,12.0,3
17,4075.0,3298.692478,1.0,1088.83,518.39,570.44,0.0,0.416667,0.083333,0.333333,0.0,0.0,6.0,9000.0,6862.520735,994.384835,0.0,12.0,1
